machine_id,cpu_capacity,memory_capacity,eviction_count
376340911,0.5,0.4995,523
336047565,0.5,0.2493,515
4820136369,1.0,1.0,611
1436303944,0.5,0.4995,362
336071720,0.5,0.2493,324
1339785,0.5,0.4995,620
563634772,0.5,0.2493,563
4013652299,0.5,0.4995,225
3337977400,0.25,0.2498,227
318350734,0.5,0.2493,391
7778109,0.5,0.4995,733
794070039,0.5,0.2493,614
6565002,0.5,0.4995,807
708535613,0.5,0.4995,1051
4802125400,1.0,1.0,683
8648902,0.5,0.4995,403
363694326,0.5,0.4995,578
226252471,0.5,0.2493,327
431045917,0.5,0.4995,406
38738418,0.5,0.2493,391
