machine_id,peak_cpu,peak_memory,eviction_count
1018836875,0.3428,0.07141,4883
105752052,0.4082,0.2258,3631
105833151,0.2773,0.07227,3752
1092924,0.4111,0.1353,7484
1093007,0.3843,0.07263,440
1093291,0.3457,0.1946,6771
1093421,0.3569,0.0697,5490
1093693,0.5,0.07239,1146
1093751844,0.292,0.1821,7021
1094187,0.4526,0.1193,10580
1094228,0.4238,0.1154,8998
1094371,0.4556,0.07568,6533
1094415,0.239,0.09119,8065
1094686,0.395,0.06836,6041
1094734,0.3726,0.0946,6625
1094786,0.2793,0.2544,6805
1094814,0.4556,0.2397,10110
1094830,0.2749,0.0708,3692
1094971,0.4341,0.1377,7788
1095053,0.3003,0.08728,6559
